1
50000 50000
18215 34323 22753
12864 17398 63390
15517 28589 3557
7562 18583 93459
4902 17250 45934
25797 22884 92817
45626 47522 81298
38531 38057 63696
16889 21694 61877
18720 11611 29753
42671 44146 20918
18875 8553 56101
36373 30186 43334
28390 10911 66324
28068 13963 86962
15675 15401 66217
24125 28106 88401
16149 31398 60406
15830 16136 64832
31317 330 62247
34100 22377 72785
2999 32300 30277
41239 28312 45359
13041 35474 33926
18179 26886 13178
46732 15291 76270
41536 30070 50286
22902 6210 58442
482 23327 73552
31423 40714 29724
11858 28831 60563
48733 13033 75709
33491 21973 5129
30565 12709 33047
47414 19626 99015
14264 32226 557
7359 2295 33471
42135 30574 4046
15923 46624 19566
22233 19643 41682
30112 42333 36363
14913 48361 98131
37399 33449 80892
28106 2212 68793
40655 2770 88115
9784 45586 45176
27111 6616 48543
1797 31394 19517
870 21522 32329
24919 761 35776
41817 10855 42698
33640 15469 15209
17725 1733 81018
33251 21055 66149
17459 30427 82695
41573 7338 58471
37065 33487 69075
41963 16829 23611
10649 4856 11829
30136 10742 83831
4630 24154 85019
48971 2286 93377
22569 5312 44970
48241 12046 28235
30962 43082 183
34729 43359 86687
24420 45725 36007
39256 35693 36833
36832 3687 6906
38523 42895 55385
34381 24045 62627
41128 33924 31439
27418 25222 16422
47231 4866 82882
43862 10524 23234
30800 40158 18834
121 41967 37256
17343 3210 10907
14312 40035 52787
46832 49574 98903
15768 29652 39518
31554 36721 29570
31069 1769 77296
32461 47628 70353
36884 12513 37334
3701 21926 66046
29292 46737 78192
42353 27599 83999
33087 39766 42174
13217 28662 98563
36491 13650 84765
263 47120 75225
45963 22594 1429
32929 11741 51646
16194 3257 54049
12680 78 4482
30393 25684 21273
42018 4167 66670
7534 38329 42975
37728 360 74984
36896 825 71481
22040 15370 92541
445 48941 2877
3596 45952 35051
46101 48001 79720
9810 20400 44693
20064 25959 48786
40040 48549 75006
36581 28863 52513
14314 952 96173
18651 17361 4020
8599 2682 21806
34792 45912 79872
10187 25418 15660
18217 46558 26855
1891 9665 86541
46051 44095 43837
29922 10038 89904
7491 32253 68935
9321 36686 93844
14247 17621 67642
44753 30370 13992
14920 27779 85625
12506 12689 55227
7559 47110 29918
40897 25946 69651
19896 14072 42168
48719 45830 12960
14843 14905 6956
28198 25400 99726
44724 42896 3461
42226 36521 85939
5723 20803 34025
467 21951 87744
10137 19539 18541
35919 7883 58817
34298 44736 46954
13798 39214 69105
22942 41824 45695
35079 21713 1203
44200 2575 1184
38493 26623 993
49015 24311 73962
39409 47029 72921
36717 18380 26681
27866 8719 18668
45975 49577 11623
15882 47662 39657
3822 14104 14872
46800 49413 5883
13996 33694 88877
25366 19566 93171
46164 11223 29833
44920 35622 31799
22071 34375 31738
13910 29855 61918
29381 34338 72906
47749 9102 94753
44973 31683 26990
17341 43399 87094
17179 18419 80493
41566 6819 22257
19602 36286 26857
46858 22863 55230
22673 35068 18586
48710 31774 34582
30939 46835 12889
47923 9091 42996
47228 39116 75111
28405 44973 42972
6234 6692 56192
47510 5559 95311
5942 9302 17040
21992 30355 50266
1765 11663 60661
9203 19615 6299
12667 21540 21348
2882 39490 77400
1498 19820 8462
10497 11529 40632
9538 23380 38881
37683 6472 4217
19635 48063 49644
37162 49241 22994
37825 3811 28552
46232 370 21657
3914 24423 9181
33065 43321 17986
18450 48400 7495
1506 49610 83064
6180 20005 83373
38257 30473 59411
17943 1065 33836
9945 24609 13246
17756 5320 34431
8735 7423 91159
42602 14291 83038
18997 31394 62826
20355 30685 97892
3278 44016 11098
30951 48060 36943
34022 14613 16383
14563 26707 35965
23911 15748 4175
18362 46151 34468
33153 45316 71675
24595 11349 17455
45810 8098 59493
37304 1346 42430
15859 7381 17554
39418 36125 25947
19082 19062 25969
31819 30622 80958
20693 9146 11954
19306 45871 53963
44375 36092 96150
16494 21861 30226
42434 36109 41851
7982 9375 41026
36922 27980 53986
18819 43896 37185
29465 26647 67139
48154 15554 87069
48484 35523 14532
12753 43349 26310
15060 32210 5037
13912 16289 68751
14023 150 58476
9729 3355 69766
36449 5442 90888
24323 12246 40207
26138 5611 78847
16370 36944 54764
44937 9501 64038
38183 33514 87136
13411 29419 73969
25870 28997 39138
42278 33063 25419
46735 22376 64828
2099 45457 83357
25480 44228 93130
41253 7114 65467
4634 49026 45576
10743 15387 77393
34717 25216 64335
34735 26118 87435
38528 43512 48283
34779 6313 27225
39256 3294 97739
4636 9318 89621
38426 1615 74004
20542 32568 39632
39036 36376 38657
2979 21018 40399
12287 12666 44646
28010 29868 30973
5673 31036 82361
20352 33987 15540
12495 11982 21889
29428 29060 40204
5509 21074 66983
45732 12569 16945
15268 16209 37562
23475 3600 2988
30707 18013 63033
15995 23733 17739
3300 49320 31101
33364 7785 73780
5399 10687 51764
7588 15797 34310
32284 16367 13223
48215 10715 83941
14858 22937 12203
10409 35562 86094
8051 16956 16597
35110 8646 4262
32352 49184 81438
10592 1554 29240
18501 2610 83463
37813 14767 80336
20014 42907 27182
28588 43077 2895
34341 13421 62208
30587 34699 57379
23046 45053 68316
23811 46692 27177
49704 30773 66321
17331 43088 36426
16552 10739 73826
3155 36038 64247
28544 2423 80729
44445 8912 84336
30925 31201 45264
17848 8989 93175
31557 29628 65691
18404 1596 33698
2287 12295 16982
40323 45053 11058
18268 26299 80045
4344 24923 97762
45557 10048 32772
12079 21935 87365
6092 10552 61033
12912 28570 39497
28398 46120 51518
4991 16983 3851
41417 13723 9386
16893 316 8428
48516 16293 32621
6350 12740 39854
30980 12086 66079
46347 31866 92254
47696 26435 37116
21601 47183 27548
39399 19884 35339
2379 29587 5247
41618 36708 90390
733 37823 79106
25204 17624 57130
14232 1197 92183
25792 15537 53764
11161 34094 91686
32125 39294 45008
34042 49606 52520
1426 47631 57453
31927 22107 12912
49673 1156 87792
49225 31924 11993
24578 18901 18206
43419 38143 12704
29668 21394 31424
14744 13185 16890
37641 11443 24343
47177 24958 303
15268 39308 80715
30855 44567 98566
8913 9178 14068
45460 3799 38483
15467 36157 94314
44916 33679 70278
29827 32436 58600
15443 17912 55402
22398 14549 93427
27702 36322 36524
13551 35655 8551
30287 7604 90706
24248 36622 88507
23178 20092 44566
45717 20933 51218
4051 7564 46642
1232 538 95071
1684 7691 58968
4369 14168 65167
387 1462 80255
27229 24490 80152
37415 47693 87717
39251 28515 57961
44863 38092 11992
40331 24027 70668
28610 49792 43291
9769 15314 90387
41141 1851 81893
11205 45826 49835
43363 37689 63846
2807 39406 23143
765 39458 75405
21399 10489 66777
48695 46988 32920
15279 4204 98261
37550 41023 83520
12612 11571 80857
13663 11648 16516
15378 8790 33341
31294 32101 37769
6676 47190 3200
31691 35428 43535
34479 47139 71509
8341 37469 13475
30172 36676 49733
28574 19800 59208
9412 37146 89883
45002 34559 3173
10996 17663 20354
7544 20692 74190
29553 23340 53205
25266 33159 15771
11669 35627 11693
44436 38787 12929
639 16004 56797
1246 16597 13660
16642 37798 53559
28010 47225 72269
8297 22240 90375
6012 40915 95717
24537 26112 86957
48985 40971 63542
41864 38281 90008
18554 26718 71034
44692 34065 71024
1974 13206 21033
6247 24618 1851
37472 22026 22964
14267 3868 48421
14814 46458 52308
21740 27955 84994
42527 8490 3977
23810 22870 63364
17886 43840 9787
11029 15435 57588
10496 24999 5368
48621 16972 56785
1170 11826 16015
4482 42172 19280
37034 5721 74673
20219 1031 86965
41307 20710 76636
36080 41473 88766
49575 45274 78957
41181 41469 50087
22534 5637 19499
34492 4047 21659
38476 43507 99393
30191 35160 97799
22156 42124 39557
43530 15609 30924
16413 28985 62216
11576 12187 73312
35168 32599 25176
3717 14547 2627
26460 18415 95058
31381 43542 64340
28707 27811 75351
3064 35811 99045
45219 8074 30670
16765 40014 92659
47622 8842 4859
34482 6095 30973
20492 36742 79217
38068 22687 95382
10459 44597 68026
1513 6790 34098
27846 18250 99735
34101 34887 25343
4917 26489 91936
33290 26826 71032
49899 22537 56545
37023 26146 74467
39324 44298 96053
954 30841 66054
18066 2430 80820
28823 40595 84336
33597 29395 92362
18745 10239 14315
17475 13991 65060
41076 29068 62963
41680 43581 53903
23275 18266 6617
21278 43844 7993
45848 44378 63253
39797 7941 18451
42208 48482 99108
16695 6241 85155
11942 37507 71397
34392 8946 7956
1218 18716 29831
35927 7611 75831
15959 4115 9912
2296 35555 96453
44084 4691 78005
34650 19688 45852
20138 39762 30031
35783 32427 85416
21698 20009 68818
3023 16422 74736
25767 1802 17070
34446 28408 43309
1997 14473 35994
1202 12162 89863
11863 1027 51687
6523 1451 27348
40646 32394 53979
20861 5484 1749
3833 19154 46431
36205 2940 75254
18677 32109 18312
47478 9084 40409
37647 23185 93922
19924 45387 60614
13670 12480 96668
20466 45485 23620
42062 11638 39103
33417 4404 57902
43377 42390 80352
13063 4041 14714
27575 25576 54090
2234 808 23021
18461 46161 62509
1746 34454 35202
33397 26123 70943
11543 13063 17687
45886 3455 22513
37973 4368 20425
28071 34164 37546
47106 24164 20376
44904 19562 25355
40823 35605 29128
15802 32992 87781
20670 2027 1995
44535 34361 66446
37451 34561 15033
5855 2844 33365
41665 17925 1525
30009 13046 85378
27940 7487 25244
19887 15903 97757
28411 48141 55714
13177 8429 49142
19512 27331 91655
44382 35587 99871
38113 30882 68533
7442 16495 44266
44768 24830 36422
45382 29021 30597
35726 46212 66835
7095 40380 45322
48125 23150 87344
45425 19071 90361
37720 23884 24448
40909 9851 98956
81 10702 11704
47635 36667 70649
31064 34523 30724
16992 2461 85503
22071 42443 77099
15666 19979 86128
42202 29392 97472
8059 13438 28289
37731 6697 26058
7908 5355 63857
37191 45156 96833
9890 43400 86631
32276 47604 30146
43298 40282 76409
19449 37604 32829
48106 31032 33348
37300 38296 93432
39507 42319 75500
39330 48819 7843
6309 18160 96454
40453 10029 11794
6694 49293 24775
35120 29870 74969
2224 18594 72229
39735 269 85551
8091 17704 19012
22681 47580 14397
22720 14142 22967
45951 40485 53216
2542 43486 26288
46428 42729 64933
18003 19201 26723
4269 47920 98890
40624 14149 26577
36869 7581 96143
31519 324 47732
28199 36995 8549
4572 41696 96570
40737 25202 44870
49447 44901 80439
29578 2942 90305
4581 30621 54538
49722 14035 61690
27637 3164 92209
12874 34821 59072
25420 27530 40481
34955 40664 95094
48465 9423 68150
36492 4857 57871
39434 6794 24811
8379 29047 9904
16770 27975 21637
38359 5651 95540
34288 48132 54482
9310 25121 60911
15589 17708 74739
34805 28843 519
40216 41253 56981
40551 12466 40804
2321 7790 14776
2102 7397 14101
38799 5028 55695
27066 37571 70087
25199 27080 70182
41617 37097 97902
34856 44028 99051
21375 41054 4197
6940 36510 62094
38880 26006 56156
29481 40808 48426
32767 25696 81919
34725 26337 57233
36119 11366 75961
37153 10832 25937
5014 36443 82320
18992 899 22635
3670 12508 62670
33731 11727 33859
2467 18199 66978
38288 17905 85098
21390 13483 91702
28716 4966 97986
7104 21303 53963
34454 41882 3963
29487 49920 41081
37969 48403 11737
49745 24176 36623
6230 40263 65862
1211 41309 36722
22548 27280 99414
36034 27046 72350
15808 30526 67429
190 1607 69640
15784 43199 74114
25174 18943 9966
40383 28062 58936
33440 19268 19338
44385 40723 87596
46940 25639 46084
40620 28241 96579
16297 34463 76170
44142 1746 69196
35524 9531 83587
27582 24128 25303
17731 3214 54298
40421 19508 83241
6685 33248 33984
23770 471 93393
14259 45426 10085
10655 2376 56560
205 16201 4161
10771 36467 48948
25639 48584 13321
35367 6231 86363
30943 39654 48854
37365 2786 20001
48291 27962 33064
25007 42947 41593
36804 17421 33098
1156 44162 46533
7908 34279 1163
38349 18775 87127
31915 7526 69112
32830 9356 32535
46534 23208 96332
2897 9982 17876
30955 25910 12397
11957 7403 54930
21213 35661 1706
33899 31809 28662
36206 20180 60862
16512 26459 28580
44051 6508 72896
3 36707 99437
16991 17559 99776
14741 28517 8459
6516 45096 87274
36787 43755 80648
31123 40794 89233
12903 15757 76989
7665 28881 97813
37578 15215 59177
17881 39853 77658
14004 43827 36427
23124 855 99555
17997 1390 47504
21208 33294 44323
31072 19618 78587
46475 8661 22663
35843 22986 38655
2034 28663 72842
35872 24104 1790
17644 43279 15414
37696 17217 30764
48403 11927 66424
13783 344 60395
32382 10956 76321
6196 19566 69764
44799 40269 36055
30843 31015 74169
43296 27675 46260
41545 34761 39919
14110 7425 26940
42500 28936 51674
6902 30489 573
4384 784 52945
42452 27801 75198
8815 28507 75845
21344 13376 7243
39 10841 42055
9036 44887 28576
30762 46028 62152
11031 8338 14243
17625 17235 93447
26636 20988 87465
27323 30855 90757
9740 42200 46259
43078 34416 75722
46377 9737 94414
28571 9777 25751
26487 42311 12496
41251 36607 23253
28864 15033 18144
13617 34458 95989
20744 10167 1260
45952 31761 53925
36487 40611 10172
33958 11390 51864
6124 9713 59391
38686 43356 12210
42537 16482 94058
15891 22090 74672
37136 12532 29532
28976 28016 54366
29463 49215 55700
43171 7943 85693
2978 41227 58634
7406 7969 22863
43094 36712 9554
35469 1544 28274
18141 2879 64486
44220 7015 8379
26542 45048 45490
48605 9666 95298
20819 26810 40583
41362 10248 52626
4331 46723 33234
36230 3936 97818
31195 9223 11924
22582 14821 13717
29084 46420 23878
26626 22464 92958
13628 16411 10840
9996 33954 87297
16190 38779 76420
37199 22924 90660
12030 46297 42830
11101 4966 85459
2147 32052 12239
23515 32726 94784
25158 48099 64343
1083 26557 43584
5332 22160 99361
31011 21329 72953
45447 29586 79651
45317 38381 10488
21803 26693 53122
42673 3901 28928
34648 38846 94292
22721 18658 3925
40948 28878 6491
38416 13308 61450
43921 28136 67615
43179 14962 35315
46439 3563 57396
14950 49788 13986
39931 19384 77010
18488 21362 32293
20548 31130 94691
20207 45676 23477
10349 25642 13133
11562 48083 13713
29713 6267 63835
1585 9884 96950
33351 7613 2024
19269 37201 83086
10155 22890 35138
13843 19149 37137
35555 2978 76669
37641 39888 81264
7639 45702 39893
31778 30293 64012
45953 49616 54895
49435 6380 20712
23551 48043 13276
23028 9722 57959
4688 15100 56418
10837 12893 60458
43856 46016 46488
38570 19568 74307
21958 878 1327
39268 48034 42075
36688 25707 19160
9997 15897 85456
4354 32456 10163
34921 33711 20104
3431 7392 59875
41196 24169 84955
22975 12308 33292
30413 17994 35155
12832 9294 81119
48638 15859 24150
36861 2422 8629
20401 6947 39842
23796 28020 36573
40294 15367 62868
47833 38374 11414
23052 33302 44254
31341 33808 22823
2404 48142 87925
44321 28945 71190
14277 19782 77785
30111 10035 51422
11081 43580 85221
24264 1295 73754
16043 10211 35769
5548 26750 2752
4003 25639 44463
6995 49991 8391
40699 9481 88055
19703 1500 39466
28447 31737 73550
18912 350 20821
28706 47455 40038
27738 27803 57350
45936 34887 15037
19422 6022 38683
39303 30477 54199
35499 28080 53213
15288 46997 82519
12950 42472 31541
46678 22438 67757
8418 32803 64788
34120 37941 59749
42524 42437 96708
35880 45773 3231
49231 43552 96071
25087 3458 94067
3733 26460 999
9131 29966 3751
24173 1644 16126
28287 39304 46713
45287 5512 13586
45863 15352 47530
29690 23471 57400
46743 15488 28067
12560 35507 53993
19054 28601 21673
22299 395 30547
30157 12800 52639
28246 38970 66237
36393 20028 71158
6385 49463 75518
3001 22736 36751
21070 35605 96654
44876 29717 45517
42695 23610 60512
15299 39181 74235
31047 10537 52135
4777 21687 45703
41784 10500 62285
18413 38486 86661
11785 4293 90089
15761 41156 61418
23109 49915 66392
33251 1711 16828
5020 27706 68669
47361 37300 77700
46227 39191 63234
16864 9931 47620
16777 13331 63188
20043 9781 70616
8169 36771 54918
6170 42078 69115
13888 488 17818
36296 37901 33272
41066 13986 97609
35939 47079 29634
49202 6272 38827
46472 18842 30440
45359 25464 52821
38962 38296 12262
32085 2353 39784
14513 30894 30908
38378 11090 12378
37327 3994 25640
14226 26373 74148
33480 49456 55356
22336 31199 49317
20016 13348 51811
16015 21648 72143
13143 8679 14525
10079 8554 87923
39908 49251 36908
28475 35500 27323
24860 38199 76904
49503 46006 60288
19932 21149 72889
19357 9468 93055
31798 771 40169
40218 19490 78299
15906 23115 18561
19346 4408 43144
49424 18098 82573
27122 12042 11800
40811 38877 96383
5924 21883 45569
4612 32521 45784
6343 8092 63457
47269 24383 51207
20620 41787 62583
39607 7061 95101
43019 13779 92914
27311 39656 74800
8667 39516 12404
26555 25613 11387
18395 18066 72631
35682 27189 85806
1877 46690 26172
49363 45985 797
32414 40136 59251
40844 30359 86218
20321 45712 27396
33608 10819 54193
10936 24630 4613
48663 42103 29522
25846 907 66184
39615 32072 77966
22265 9679 43231
49635 9320 25223
1166 27312 51692
39859 44160 41802
21095 7107 13194
43064 6992 18407
10749 29676 95405
36770 49047 36628
1959 36600 86742
3958 28803 2785
37485 21527 51719
27691 15080 70151
9268 42499 63641
47471 43488 61342
40268 5055 11345
28397 36175 60862
31327 46594 74713
37710 10025 33373
14110 44871 54472
49344 3441 42219
10295 15743 66943
16064 44791 80580
35944 26822 25693
35555 38907 34505
42675 15520 27534
35065 29535 30512
25476 43741 79191
16872 26781 610
30385 45108 40828
18899 5932 63608
5005 26532 84956
24933 1959 87860
16197 8002 87759
18183 17165 98527
20140 13145 61170
10339 32231 78781
6756 12751 11356
8579 18062 48311
10978 49800 94108
5105 36039 22829
6113 18042 9612
24777 36764 51765
37412 43966 8860
10733 7101 96612
30883 156 51093
38046 35499 17277
1825 27052 91114
30218 39158 13095
49880 44456 17849
2187 45546 43248
12475 28335 50925
33711 28476 94156
48555 34087 72654
27099 39136 58274
7569 8541 18957
47280 150 73189
47377 20129 6900
4637 48172 1132
26292 17465 38992
33410 2722 93119
9341 4870 9750
22278 19351 65953
39868 40527 49255
9329 2146 57166
4257 12065 2522
817 2421 49069
31699 35641 86448
31610 3072 67134
31745 12247 99096
36319 31167 63771
27695 48779 96012
11583 1753 82238
34566 21143 28119
5953 24658 94698
24804 25031 86439
31823 33561 31214
5771 23374 26657
4513 1249 27267
42758 18054 26644
22915 12512 52781
14606 15544 85883
6727 48535 48622
7113 25985 34746
13746 26314 67375
44112 12736 20338
16251 22053 86782
17889 36997 96743
49368 45000 85257
33185 5625 4899
40559 19120 70575
7086 27762 94575
20053 3128 63046
49282 14413 5772
31195 48749 52433
4968 25060 49719
5011 34374 87321
26100 23680 61852
15891 38409 99823
16240 24973 83493
39103 39618 68270
22296 39139 49077
39947 43469 71677
28712 12776 46399
7720 26251 47777
10773 48017 62653
36119 37244 21047
28052 49997 15008
28992 22618 47700
969 37630 91133
46634 48299 47715
16835 29630 65579
4685 18391 11159
3629 28318 37886
29991 32851 8175
16854 32322 51620
44844 39518 83321
14872 14176 86819
39838 41735 56388
32640 9061 7202
28539 41669 58334
16949 7328 87107
36703 32634 44165
32790 40615 6197
8672 43287 83730
8833 6337 23419
26247 33979 4442
24226 36944 44004
40931 23827 99205
40399 43132 91366
35125 10223 41576
14176 49880 76568
26515 35533 64510
41344 31642 67563
32313 29462 27437
25714 20638 45744
47103 16802 95706
2395 45098 80811
19633 42162 57416
6455 45736 67954
21260 3298 78663
18975 9459 43677
27021 32305 97643
45297 2017 16210
25035 21134 83810
18782 11346 50545
27267 21443 54390
19748 46187 11619
49010 3223 56721
33974 14051 60939
12090 30665 63102
7507 23068 99329
39218 25396 55209
20074 16898 46077
43715 45502 62054
32817 3514 82562
33775 30237 86496
49951 30295 82037
36789 5429 6213
8092 34346 93018
27468 25479 65202
39216 9673 61764
9970 26093 85064
17283 46236 52396
24826 30487 27140
40180 35152 97896
5913 1559 75156
5483 17927 25920
28164 28495 476
13594 6259 56990
17477 30038 38326
3078 12881 86170
44782 34831 95158
28270 38055 18471
47159 11934 48640
5165 43528 63869
29399 11411 28405
47280 951 54954
29484 40018 71413
3971 6227 13379
19823 4238 36557
9976 38379 61758
10828 31184 43421
23579 1637 45097
9593 36151 58588
35272 30323 9237
28732 33261 35484
13232 31243 32550
48713 36493 5315
32698 39203 64362
48396 7710 72887
24467 48825 16964
8804 43744 80534
27986 4349 29145
36054 34223 56919
690 17355 13831
23724 12323 8046
38683 30300 51394
35904 34284 14624
19056 31477 1908
1613 11597 39829
12725 7057 26702
19323 526 4045
1315 14249 35929
42839 11251 18554
27505 44488 5095
23128 2064 52165
33813 48669 38976
49815 4051 66647
37934 37765 1377
24675 22142 68223
48706 5009 56386
38696 35555 90622
11758 7816 13920
24401 45067 90408
38542 22293 57705
22075 22827 99767
37193 29696 43839
3615 47539 75617
47982 9073 18325
49426 5155 59698
7492 5273 61707
10676 7721 35817
37212 42024 85906
26639 636 17898
18336 9418 78089
16180 36007 52105
15496 15812 91154
48644 47754 44568
27595 3748 41496
46122 5752 42638
14512 47051 66145
47713 30623 764
20524 34504 50051
35389 4395 78835
30891 31600 86388
44310 5396 42866
30503 12398 81934
3838 37607 59490
29955 25477 95547
31160 49707 2493
3119 47724 13811
18998 31025 50423
14472 44141 11395
12240 3257 1807
12186 47677 79238
19812 8264 16402
10442 13204 89391
41862 11122 35337
14380 14863 72748
40770 3813 31821
7881 2712 51055
13497 7834 65125
40582 30531 59112
14862 17970 98075
30335 16281 62536
47102 17418 8293
47219 5506 79390
42657 21850 89974
29732 10048 3256
19841 21675 95629
47774 2998 23422
29813 49544 27536
13910 10335 10588
45780 11760 91485
11891 23561 88405
7092 38737 60814
46006 37321 7122
40199 13338 42014
14002 25907 77345
48102 11134 26669
21113 6744 47552
43901 27660 89764
43848 24729 39065
42558 41272 29199
323 43333 84247
47828 12160 61172
30270 45994 98777
47033 9522 34329
27695 41973 70667
446 30461 38301
15494 41413 10706
26551 5483 64477
14339 2927 41155
20936 10045 17677
32020 26915 7827
41001 39817 74102
44089 1956 75334
362 7135 12861
48860 5345 14760
614 7903 7044
28499 1090 13262
45835 46310 13395
29700 45557 57287
1106 4731 21613
49866 969 86984
4239 7979 61690
31990 7569 68897
10805 8644 84696
27184 43129 15028
45756 8796 65641
8747 41845 3213
29438 871 99477
18725 6477 19577
11911 26604 20548
6497 24136 8569
2788 29976 20352
10482 39264 25278
9925 9792 77300
21316 2837 20769
44502 13068 50248
15967 23346 5047
608 2945 74483
2371 37420 84098
12849 31642 66768
38050 33437 54015
27125 30674 44555
22323 14089 97723
29548 33755 89310
36483 19214 26357
12827 49681 8866
47848 2030 57635
825 49794 60420
17929 4441 38347
7458 9775 14085
22333 42038 74935
321 8066 35848
44692 42182 55540
38984 47153 34645
20689 48357 3837
18001 21754 92001
18999 5355 83059
8503 23968 9285
1820 39947 95513
21583 15827 32807
10073 42594 56126
33523 33982 80542
39051 18247 16864
5048 40179 17513
42056 20817 20482
23263 6527 96599
37568 44231 2648
35800 32036 39248
4647 49875 66920
32399 31776 11239
42751 29897 11755
18622 48381 38613
12666 7811 99218
2214 40806 84265
8305 42913 18927
26840 9153 63682
43321 8322 16567
11767 38619 98767
397 33894 57462
17798 32359 70153
19711 45068 73418
28935 1160 51200
41685 7694 57006
45876 21333 27185
749 9224 32619
7907 19862 29069
49468 752 22919
7949 23203 26712
17195 10972 55466
32058 47186 34809
6999 37906 2628
24042 14972 48817
21880 41198 70331
42428 35835 3637
36647 48285 62178
42381 23233 38995
30598 18929 63892
38503 898 56051
41095 34775 58119
13191 21349 95959
48945 12406 81053
16288 43022 18216
38542 38889 48369
27489 41144 25988
3267 35328 79403
9476 16602 78718
2091 36441 4213
576 8961 92100
20800 48766 90278
40446 3175 79698
13295 32907 73963
27257 26110 51662
27000 33321 22435
12846 44634 8845
2795 1927 49163
42650 26548 33204
13525 22625 54366
19903 19981 44619
13304 46336 69411
27347 14031 8672
14051 46658 69479
14543 4033 19641
1285 48920 70608
8320 19390 26237
4874 29694 50803
10010 29459 78518
27380 1942 30793
19802 28978 8253
27894 5331 3732
26789 43182 19826
45745 6397 20002
37561 16953 62280
16635 9213 52387
29985 46117 58128
46167 23159 26318
31715 30595 90086
33201 24446 69028
23786 23061 33684
8788 39064 61438
11128 46314 50893
19333 16600 40541
34630 37970 48827
47318 12317 99855
15510 26349 57010
38267 16323 39564
23369 28904 52454
44438 25683 7639
14889 4959 26489
31883 22631 49195
14531 5546 61365
6927 37705 74617
48221 35261 79810
8229 38648 99085
6422 9449 86764
8472 48016 65118
7050 42893 68138
669 2538 4210
47838 47201 29893
21648 29892 36143
18045 28661 26140
39643 41296 91098
110 22539 54346
32462 45048 5209
29107 27749 78135
22266 29892 89655
49600 1809 52884
18414 11492 7512
23442 32837 22655
47045 25056 96912
3138 15386 5066
28251 15469 46689
49 46196 6121
11773 13662 56311
700 18818 72293
7543 49411 96059
27171 35825 17750
31712 5816 37607
35164 33702 47764
44324 1265 99770
18112 34785 61946
13691 2506 59494
48693 37221 77702
1289 45114 72233
8970 37693 82845
30243 25471 30080
2117 33098 54854
9164 15688 78926
19023 558 54812
15608 32303 27539
23668 49251 7263
32935 45948 16902
20158 7015 69860
27813 29165 69448
38663 25283 84244
26332 19024 78723
3630 26648 17300
30409 30176 23512
31544 3209 16374
31824 5306 78449
27349 4060 79378
3622 3168 21338
47405 7955 53280
3705 6626 61514
7497 31404 27864
26096 23849 69560
41782 26933 54500
11688 30137 63281
20613 19512 98594
26570 42684 55206
26447 43035 67063
45646 37359 56565
36171 39050 70075
5179 43903 7140
5779 12975 71214
13799 17636 27142
17653 43304 77829
7819 5965 16966
3607 45275 57382
8337 26079 60893
32278 7231 56353
30289 48656 83192
15517 10153 29618
26857 38066 40952
27082 29730 77289
19869 46023 35406
1287 1869 80179
17747 31033 94490
45294 41143 44729
45047 19900 48703
29634 21292 46479
8309 30683 31452
28196 19796 62205
32574 30180 36098
30669 36373 79827
24864 38682 66691
12830 40168 62923
35725 4580 40574
19429 38926 81537
40119 49988 79461
2515 38325 51294
34307 46019 42395
44937 7118 27146
38748 41494 20521
26156 23489 83855
3991 47886 47856
40963 38785 8454
25688 25741 24176
45826 3775 15627
25781 15192 75400
43466 22862 48991
49840 20926 20200
11114 3850 38180
34866 7870 98038
37926 25685 56765
7231 45711 69851
25288 3257 28483
1684 7631 10020
19125 26562 46181
40273 39889 41262
49297 9446 68739
7796 17610 9399
41836 22936 48734
28589 13445 42959
36837 36659 37371
15869 13387 91862
41696 32984 41199
49215 7255 60483
2635 3799 42124
37236 17496 25459
29888 36817 12000
45764 35517 56601
33800 16711 95204
11451 35743 39593
10222 37977 35736
14532 18979 5548
9454 35112 55911
14637 44998 93452
33534 7014 44666
3942 5518 5011
33357 27863 65589
44008 47199 8405
32162 48039 61747
32578 22886 75345
3671 40231 34439
44256 25117 47408
9899 12846 47938
42263 13255 93900
12808 38188 57165
4983 13204 36181
48256 6863 26536
26534 6252 52003
10222 28302 33002
797 3447 68981
28061 11032 45042
45515 10943 67748
4988 41254 13506
18252 1036 11345
20474 629 92939
15890 31280 30548
16995 28147 41301
28601 33412 90956
8891 3857 45356
20865 15521 13899
44870 41958 28767
4377 16154 52224
23558 10907 8743
41034 17472 97767
36072 9512 81313
18775 567 54740
30033 21006 26010
15268 25621 58867
36645 22681 74140
36481 21032 30107
31275 12222 69189
19488 30341 63451
40643 43952 51029
27119 29396 6016
33006 45083 56602
7419 18628 75671
38790 21037 63988
1227 35945 65148
23521 46095 84535
45457 5196 71813
11245 4123 59670
34875 10801 1009
20059 44158 71188
46182 14131 16144
36691 48260 61162
46792 30539 10303
15591 26795 84349
39237 31906 63663
16324 36936 47706
42241 1766 275
31164 13140 34646
37415 9744 19125
28065 10124 38336
42178 5040 36232
7795 23495 55840
46906 1111 58733
30502 4236 56125
2294 10658 75282
4218 31447 20129
37220 17918 12699
33267 6794 76540
2409 2412 86448
21415 16745 57605
40624 41056 80377
22398 31355 17669
6048 4582 80918
39939 23584 42656
44731 34612 15479
18885 28163 40454
26697 18644 1092
40103 27449 88241
36661 44206 42062
10968 42520 65780
13201 26412 33048
27811 31733 63321
31764 32842 11645
11077 39107 97894
28723 33678 41646
20269 39336 57066
